digit	allele	label	head	head_idx	parent	parent_val	expert
2	HLA-DPB1:184	29	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:19	30	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:20	31	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:21	32	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:23	33	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:26	34	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:27	35	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:28	36	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:29	37	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:30	38	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:31	39	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:34	40	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:38	41	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:39	42	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:40	43	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:45	44	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:46	45	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:48	46	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:49	47	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:55	48	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:63	49	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:78	50	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:80	51	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:85	52	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:88	53	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:91	54	HLA-DPB1	4	.	-1	E2
2	HLA-DPB1:93	55	HLA-DPB1	4	.	-1	E2
2	HLA-DQA1:01	1	HLA-DQA1	5	.	-1	E3
2	HLA-DQA1:02	2	HLA-DQA1	5	.	-1	E3
2	HLA-DQA1:03	3	HLA-DQA1	5	.	-1	E3
2	HLA-DQA1:04	4	HLA-DQA1	5	.	-1	E3
2	HLA-DQA1:05	5	HLA-DQA1	5	.	-1	E3
2	HLA-DQA1:06	6	HLA-DQA1	5	.	-1	E3
2	HLA-DQB1:02	1	HLA-DQB1	6	.	-1	E3
2	HLA-DQB1:03	2	HLA-DQB1	6	.	-1	E3
2	HLA-DQB1:04	3	HLA-DQB1	6	.	-1	E3
2	HLA-DQB1:05	4	HLA-DQB1	6	.	-1	E3
2	HLA-DQB1:06	5	HLA-DQB1	6	.	-1	E3
2	HLA-DRB1:01	1	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:03	2	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:04	3	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:07	4	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:08	5	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:09	6	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:10	7	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:11	8	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:12	9	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:13	10	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:14	11	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:15	12	HLA-DRB1	7	.	-1	E3
2	HLA-DRB1:16	13	HLA-DRB1	7	.	-1	E3
4	HLA-A:01:01	1	HLA-A:01	8	HLA-A	1	E0
4	HLA-A:01:02	2	HLA-A:01	8	HLA-A	1	E0
4	HLA-A:02:01	1	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:02	2	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:03	3	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:04	4	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:05	5	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:06	6	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:07	7	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:09	8	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:10	9	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:11	10	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:13	11	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:134	12	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:14	13	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:147	14	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:152	15	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:17	16	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:20	17	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:22	18	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:355	19	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:39	20	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:474	21	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:60	22	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:02:64	23	HLA-A:02	9	HLA-A	2	E0
4	HLA-A:03:01	1	HLA-A:03	10	HLA-A	3	E0
4	HLA-A:03:02	2	HLA-A:03	10	HLA-A	3	E0
4	HLA-A:11:01	1	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:11:02	2	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:11:03	3	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:11:171	4	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:11:50Q	5	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:11:64	6	HLA-A:11	11	HLA-A	4	E0
4	HLA-A:23:01	1	HLA-A:23	12	HLA-A	5	E0
4	HLA-A:23:15	2	HLA-A:23	12	HLA-A	5	E0
4	HLA-A:23:17	3	HLA-A:23	12	HLA-A	5	E0
4	HLA-A:24:02	1	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:03	2	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:04	3	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:07	4	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:08	5	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:10	6	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:17	7	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:20	8	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:21	9	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:24	10	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:33	11	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:24:53	12	HLA-A:24	13	HLA-A	6	E0
4	HLA-A:25:01	1	HLA-A:25	14	HLA-A	7	E0
4	HLA-A:26:01	1	HLA-A:26	15	HLA-A	8	E0
4	HLA-A:26:02	2	HLA-A:26	15	HLA-A	8	E0
4	HLA-A:26:03	3	HLA-A:26	15	HLA-A	8	E0
4	HLA-A:26:08	4	HLA-A:26	15	HLA-A	8	E0
4	HLA-A:29:01	1	HLA-A:29	16	HLA-A	9	E0
4	HLA-A:29:02	2	HLA-A:29	16	HLA-A	9	E0
4	HLA-A:30:01	1	HLA-A:30	17	HLA-A	10	E0
4	HLA-A:30:02	2	HLA-A:30	17	HLA-A	10	E0
4	HLA-A:30:04	3	HLA-A:30	17	HLA-A	10	E0
4	HLA-A:30:07	4	HLA-A:30	17	HLA-A	10	E0
4	HLA-A:30:10	5	HLA-A:30	17	HLA-A	10	E0
4	HLA-A:31:01	1	HLA-A:31	18	HLA-A	11	E0
4	HLA-A:31:04	2	HLA-A:31	18	HLA-A	11	E0
4	HLA-A:31:12	3	HLA-A:31	18	HLA-A	11	E0
4	HLA-A:31:16	4	HLA-A:31	18	HLA-A	11	E0
4	HLA-A:32:01	1	HLA-A:32	19	HLA-A	12	E0
4	HLA-A:33:01	1	HLA-A:33	20	HLA-A	13	E0
4	HLA-A:33:03	2	HLA-A:33	20	HLA-A	13	E0
4	HLA-A:33:31	3	HLA-A:33	20	HLA-A	13	E0
4	HLA-A:33:66	4	HLA-A:33	20	HLA-A	13	E0
4	HLA-A:34:01	1	HLA-A:34	21	HLA-A	14	E0
4	HLA-A:34:02	2	HLA-A:34	21	HLA-A	14	E0
4	HLA-A:36:01	1	HLA-A:36	22	HLA-A	15	E0
4	HLA-A:66:01	1	HLA-A:66	23	HLA-A	16	E0
4	HLA-A:66:02	2	HLA-A:66	23	HLA-A	16	E0
4	HLA-A:66:03	3	HLA-A:66	23	HLA-A	16	E0
4	HLA-A:68:01	1	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:02	2	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:03	3	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:15	4	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:16	5	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:17	6	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:68:44	7	HLA-A:68	24	HLA-A	17	E0
4	HLA-A:69:01	1	HLA-A:69	25	HLA-A	18	E0
4	HLA-A:74:01	1	HLA-A:74	26	HLA-A	19	E0
4	HLA-A:74:02	2	HLA-A:74	26	HLA-A	19	E0
4	HLA-A:74:03	3	HLA-A:74	26	HLA-A	19	E0
4	HLA-A:80:01	1	HLA-A:80	27	HLA-A	20	E0
4	HLA-B:07:02	1	HLA-B:07	28	HLA-B	1	E1
4	HLA-B:07:05	2	HLA-B:07	28	HLA-B	1	E1
4	HLA-B:07:06	3	HLA-B:07	28	HLA-B	1	E1
4	HLA-B:07:13	4	HLA-B:07	28	HLA-B	1	E1
4	HLA-B:08:01	1	HLA-B:08	29	HLA-B	2	E1
4	HLA-B:08:07	2	HLA-B:08	29	HLA-B	2	E1
4	HLA-B:13:01	1	HLA-B:13	30	HLA-B	3	E1
4	HLA-B:13:02	2	HLA-B:13	30	HLA-B	3	E1
4	HLA-B:13:09	3	HLA-B:13	30	HLA-B	3	E1
4	HLA-B:14:01	1	HLA-B:14	31	HLA-B	4	E1
4	HLA-B:14:02	2	HLA-B:14	31	HLA-B	4	E1
4	HLA-B:14:03	3	HLA-B:14	31	HLA-B	4	E1
4	HLA-B:14:13	4	HLA-B:14	31	HLA-B	4	E1
4	HLA-B:15:01	1	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:02	2	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:03	3	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:04	4	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:05	5	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:07	6	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:08	7	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:09	8	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:10	9	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:11	10	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:12	11	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:15	12	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:16	13	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:17	14	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:18	15	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:20	16	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:21	17	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:220	18	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:25	19	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:27	20	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:32	21	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:35	22	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:37	23	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:39	24	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:40	25	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:45	26	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:15:52	27	HLA-B:15	32	HLA-B	5	E1
4	HLA-B:18:01	1	HLA-B:18	33	HLA-B	6	E1
4	HLA-B:18:03	2	HLA-B:18	33	HLA-B	6	E1
4	HLA-B:18:05	3	HLA-B:18	33	HLA-B	6	E1
4	HLA-B:18:06	4	HLA-B:18	33	HLA-B	6	E1
4	HLA-B:27:02	1	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:03	2	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:04	3	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:05	4	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:06	5	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:07	6	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:27:37	7	HLA-B:27	34	HLA-B	7	E1
4	HLA-B:35:01	1	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:02	2	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:03	3	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:04	4	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:05	5	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:06	6	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:08	7	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:09	8	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:10	9	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:11	10	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:12	11	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:14	12	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:15	13	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:17	14	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:186	15	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:20	16	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:22	17	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:31	18	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:41	19	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:43	20	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:57	21	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:71	22	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:35:75	23	HLA-B:35	35	HLA-B	8	E1
4	HLA-B:37:01	1	HLA-B:37	36	HLA-B	9	E1
4	HLA-B:37:04	2	HLA-B:37	36	HLA-B	9	E1
4	HLA-B:38:01	1	HLA-B:38	37	HLA-B	10	E1
4	HLA-B:38:02	2	HLA-B:38	37	HLA-B	10	E1
4	HLA-B:38:06	3	HLA-B:38	37	HLA-B	10	E1
4	HLA-B:39:01	1	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:02	2	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:03	3	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:05	4	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:06	5	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:08	6	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:09	7	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:10	8	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:11	9	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:12	10	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:14	11	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:39:24	12	HLA-B:39	38	HLA-B	11	E1
4	HLA-B:40:01	1	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:02	2	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:03	3	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:04	4	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:05	5	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:06	6	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:08	7	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:111	8	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:12	9	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:130	10	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:150	11	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:20	12	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:23	13	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:26	14	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:40:64	15	HLA-B:40	39	HLA-B	12	E1
4	HLA-B:41:01	1	HLA-B:41	40	HLA-B	13	E1
4	HLA-B:41:02	2	HLA-B:41	40	HLA-B	13	E1
4	HLA-B:41:03	3	HLA-B:41	40	HLA-B	13	E1
4	HLA-B:41:04	4	HLA-B:41	40	HLA-B	13	E1
4	HLA-B:42:01	1	HLA-B:42	41	HLA-B	14	E1
4	HLA-B:42:02	2	HLA-B:42	41	HLA-B	14	E1
4	HLA-B:44:02	1	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:44:03	2	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:44:05	3	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:44:10	4	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:44:27	5	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:44:46	6	HLA-B:44	42	HLA-B	15	E1
4	HLA-B:45:01	1	HLA-B:45	43	HLA-B	16	E1
4	HLA-B:45:07	2	HLA-B:45	43	HLA-B	16	E1
4	HLA-B:46:01	1	HLA-B:46	44	HLA-B	17	E1
4	HLA-B:46:12	2	HLA-B:46	44	HLA-B	17	E1
4	HLA-B:47:01	1	HLA-B:47	45	HLA-B	18	E1
4	HLA-B:47:03	2	HLA-B:47	45	HLA-B	18	E1
4	HLA-B:48:01	1	HLA-B:48	46	HLA-B	19	E1
4	HLA-B:48:02	2	HLA-B:48	46	HLA-B	19	E1
4	HLA-B:48:03	3	HLA-B:48	46	HLA-B	19	E1
4	HLA-B:48:04	4	HLA-B:48	46	HLA-B	19	E1
4	HLA-B:48:05	5	HLA-B:48	46	HLA-B	19	E1
4	HLA-B:49:01	1	HLA-B:49	47	HLA-B	20	E1
4	HLA-B:50:01	1	HLA-B:50	48	HLA-B	21	E1
4	HLA-B:50:02	2	HLA-B:50	48	HLA-B	21	E1
4	HLA-B:51:01	1	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:02	2	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:06	3	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:07	4	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:08	5	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:15	6	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:23	7	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:42	8	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:59	9	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:78	10	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:81	11	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:51:83	12	HLA-B:51	49	HLA-B	22	E1
4	HLA-B:52:01	1	HLA-B:52	50	HLA-B	23	E1
4	HLA-B:52:07	2	HLA-B:52	50	HLA-B	23	E1
4	HLA-B:52:27	3	HLA-B:52	50	HLA-B	23	E1
4	HLA-B:53:01	1	HLA-B:53	51	HLA-B	24	E1
4	HLA-B:53:08	2	HLA-B:53	51	HLA-B	24	E1
4	HLA-B:54:01	1	HLA-B:54	52	HLA-B	25	E1
4	HLA-B:55:01	1	HLA-B:55	53	HLA-B	26	E1
4	HLA-B:55:02	2	HLA-B:55	53	HLA-B	26	E1
4	HLA-B:55:24	3	HLA-B:55	53	HLA-B	26	E1
4	HLA-B:56:01	1	HLA-B:56	54	HLA-B	27	E1
4	HLA-B:56:04	2	HLA-B:56	54	HLA-B	27	E1
4	HLA-B:57:01	1	HLA-B:57	55	HLA-B	28	E1
4	HLA-B:57:02	2	HLA-B:57	55	HLA-B	28	E1
4	HLA-B:57:03	3	HLA-B:57	55	HLA-B	28	E1
4	HLA-B:57:04	4	HLA-B:57	55	HLA-B	28	E1
4	HLA-B:58:01	1	HLA-B:58	56	HLA-B	29	E1
4	HLA-B:58:02	2	HLA-B:58	56	HLA-B	29	E1
4	HLA-B:59:01	1	HLA-B:59	57	HLA-B	30	E1
4	HLA-B:67:01	1	HLA-B:67	58	HLA-B	31	E1
4	HLA-B:73:01	1	HLA-B:73	59	HLA-B	32	E1
4	HLA-B:78:01	1	HLA-B:78	60	HLA-B	33	E1
4	HLA-B:78:02	2	HLA-B:78	60	HLA-B	33	E1
4	HLA-B:81:01	1	HLA-B:81	61	HLA-B	34	E1
4	HLA-B:82:01	1	HLA-B:82	62	HLA-B	35	E1
4	HLA-B:82:02	2	HLA-B:82	62	HLA-B	35	E1
4	HLA-C:01:02	1	HLA-C:01	63	HLA-C	1	E1
4	HLA-C:01:03	2	HLA-C:01	63	HLA-C	1	E1
4	HLA-C:01:23	3	HLA-C:01	63	HLA-C	1	E1
4	HLA-C:01:30	4	HLA-C:01	63	HLA-C	1	E1
4	HLA-C:01:31	5	HLA-C:01	63	HLA-C	1	E1
4	HLA-C:01:44	6	HLA-C:01	63	HLA-C	1	E1
